p_x,p_y,p_z,u_x,u_y,u_z,dot
75.000000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75.000000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,-75.000000000,-75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3.000000000,0.000000000,0.000000000,-0.057750873,-0.006797059,-0.005096864,0.992953672
0.000000000,3.000000000,0.000000000,0.010036150,-0.076561684,-0.007837382,0.984683852
0.000000000,0.000000000,3.000000000,-0.010986283,-0.010299060,0.136627140,-0.232071484
-3.000000000,0.000000000,0.000000000,0.040034151,-0.004319793,0.011434214,0.954187686
0.000000000,-3.000000000,0.000000000,-0.010761147,0.046633122,0.016119743,0.923095476
0.000000000,0.000000000,-3.000000000,0.012728491,0.000920189,-0.111788279,-0.340270718
-56.250000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-37.500000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-18.750000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
18.750000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
37.500000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56.250000000,75.000000000,75.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-75.000000000,75.000000000,56.250000000,0.000000000,0.000000000,0.000000000,0.000000000
